## Burnley FC — Musim 23/24

| # | Pemain | Posisi | Usia | Kebangsaan | Klub Saat Ini | Nilai Pasar |
| 34 | André Ayew | Penyerang Tengah | 33 | Ghana/France | Tanpa Klub | €1.80m |
| - | Dale Taylor | Penyerang Tengah | 19 | N. Ireland | Blackpool FC | €500k |
| 33 | Lyle Taylor | Penyerang Tengah | 33 | Montserrat/England | Chelmsford City | €300k |
| - | Esapa Osong | Penyerang Tengah | 18 | England/Cameroon | Tanpa Klub | - |

## Fulham FC — Musim 22/23

| # | Pemain | Posisi | Usia | Kebangsaan | Klub Saat Ini | Nilai Pasar |
|---|--------|--------|------|------------|----------------|-------------|
| 17 | Bernd Leno | Kiper | 31 | Germany | Fulham FC | €12.00m |
| - | Paulo Gazzaniga | Kiper | 31 | Argentina/Italy | Girona FC | €3.00m |
| 1 | Marek Rodák | Kiper | 26 | Slovakia | Al-Ettifaq FC | €3.00m |
| - | George Wickens | Kiper | 21 | England | Lincoln City | €250k |
| 31 | Issa Diop | Bek Tengah | 26 | Morocco/France | Ipswich Town | €18.00m |
| 4 | Tosin Adarabioyo | Bek Tengah | 25 | England/Nigeria | Chelsea FC | €16.00m |
| 5 | Shane Duffy | Bek Tengah | 31 | Ireland/N. Ireland | Tanpa Klub | €2.00m |
| 13 | Tim Ream | Bek Tengah | 35 | United States | Charlotte FC | €1.00m |
| - | Connor McAvoy | Bek Tengah | 21 | Scotland/England | Wealdstone FC | €250k |
| - | Charlie Robinson | Bek Tengah | 18 | England | Pensiun | - |
| 33 | Antonee Robinson | Bek Kiri | 25 | United States/England | Fulham FC | €15.00m |
| 3 | Layvin Kurzawa | Bek Kiri | 30 | France/Guadeloupe | Tanpa Klub | €3.00m |
| - | Joe Bryan | Bek Kiri | 29 | England | Pensiun | €2.20m |
| - | Stefan Parkes | Bek Kiri | 19 | England | Hemel Hempstead Town | €150k |
| 2 | Kenny Tete | Bek Kanan | 27 | Netherlands/Mozambique | Fulham FC | €15.00m |
| - | Kevin Mbabu | Bek Kanan | 28 | Switzerland/DR Congo | Tanpa Klub | €3.50m |
| 12 | Cédric Soares | Bek Kanan | 31 | Portugal/Germany | São Paulo | €3.00m |
| - | Marlon Fossey | Bek Kanan | 24 | United States/Jersey | Standard Liège | €2.50m |
| - | Steven Sessegnon | Bek Kanan | 23 | England/Benin | AFC Wimbledon | €800k |
| - | Luciano D'Auria-Henry | Bek Kanan | 20 | England/Italy | Tanpa Klub | €150k |
| 26 | João Palhinha | Gelandang Bertahan | 27 | Portugal | SL Benfica | €40.00m |
| - | Nathaniel Chalobah | Gelandang Bertahan | 28 | England/Sierra Leone | Charlton Athletic | €1.80m |
| - | Adrion Pajaziti | Gelandang Bertahan | 20 | Albania/Kosovo | HNK Hajduk Split | €200k |
| 6 | Harrison Reed | Gelandang Tengah | 28 | England | Fulham FC | €18.00m |
| 18 | Andreas Pereira | Gelandang Tengah | 27 | Brazil/Belgium | Palmeiras | €18.00m |
| 28 | Saša Lukić | Gelandang Tengah | 26 | Serbia | Ipswich Town | €12.00m |
| 10 | Tom Cairney | Gelandang Tengah | 32 | Scotland/England | Fulham FC | €2.00m |
| - | Josh Onomah | Gelandang Tengah | 26 | England/Nigeria | Tanpa Klub | €1.50m |
| 35 | Tyrese Francois | Gelandang Tengah | 22 | Australia/England | Tanpa Klub | €500k |
| - | Matt Dibley-Dias | Gelandang Tengah | 19 | New Zealand/Brazil | Newport County | - |
| 14 | Bobby De Cordova-Reid | Gelandang Serang | 30 | Jamaica/England | Leicester City | €7.00m |
| - | Luke Harris | Gelandang Serang | 18 | Wales/Jersey | Wigan Athletic | €500k |
| - | Kristian Sekularac | Gelandang Serang | 19 | Switzerland/England | FK Zeleznicar Pancevo | €150k |
| 11 | Manor Solomon | Sayap Kiri | 23 | Israel/Portugal | West Ham United | €18.00m |
| 20 | Willian | Sayap Kiri | 34 | Brazil | Grêmio | €3.00m |
| 7 | Neeskens Kebano | Sayap Kiri | 31 | DR Congo/France | Tanpa Klub | €2.00m |
| - | Ollie O'Neill | Sayap Kiri | 20 | Ireland/England | Leyton Orient | €250k |
| - | Martial Godo | Sayap Kiri | 20 | Cote d'Ivoire/England | RC Strasbourg | €100k |
| 8 | Harry Wilson | Sayap Kanan | 26 | Wales/England | Leeds United | €16.00m |
| - | Daniel James | Sayap Kanan | 25 | Wales/England | Leeds United | €12.00m |
| - | Anthony Knockaert | Sayap Kanan | 31 | France/Belgium | Stade Mouscronnois | €900k |
| 9 | Aleksandar Mitrović | Penyerang Tengah | 28 | Serbia | Al-Rayyan SC | €28.00m |
| 30 | Carlos Vinícius | Penyerang Tengah | 28 | Brazil | Grêmio | €6.00m |
| 19 | Rodrigo Muniz | Penyerang Tengah | 22 | Brazil | Fulham FC | €5.00m |
| - | Jay Stansfield | Penyerang Tengah | 20 | England | Birmingham City | €1.20m |
| - | Terry Ablade | Penyerang Tengah | 21 | Finland/Ghana | Oulun Luistinseura | €200k |
| - | Callum McFarlane | Penyerang Tengah | 19 | England | Solihull Moors | - |

## AFC Bournemouth — Musim 22/23

| # | Pemain | Posisi | Usia | Kebangsaan | Klub Saat Ini | Nilai Pasar |
|---|--------|--------|------|------------|----------------|-------------|
| 13 | Neto | Kiper | 33 | Brazil/Italy | Tanpa Klub | €2.50m |
| 1 | Mark Travers | Kiper | 24 | Ireland | Everton FC | €2.00m |
| 12 | Darren Randolph | Kiper | 36 | Ireland/United States | Pensiun | €400k |
| - | Will Dennis | Kiper | 22 | England | Milton Keynes Dons | €150k |
| - | Cameron Plain | Kiper | 21 | England | Wimborne Town FC | €100k |
| 25 | Marcos Senesi | Bek Tengah | 26 | Argentina/Italy | Tottenham Hotspur | €22.00m |
| 27 | Ilya Zabarnyi | Bek Tengah | 20 | Ukraine | Paris Saint-Germain | €20.00m |
| 5 | Lloyd Kelly | Bek Tengah | 24 | England/Jamaica | Juventus FC | €18.00m |
| 6 | Chris Mepham | Bek Tengah | 25 | Wales/England | West Bromwich Albion | €8.00m |
| - | Jack Stephens | Bek Tengah | 29 | England | Southampton FC | €3.50m |
| - | James Hill | Bek Tengah | 21 | England | AFC Bournemouth | €1.00m |
| - | Chris Francis | Bek Tengah | 20 | England | Slough Town | - |
| - | Max Kinsey | Bek Tengah | 18 | England | Truro City FC | - |
| - | Owen Bevan | Bek Tengah | 19 | Wales/England | Dundee FC | - |
| 18 | Matías Viña | Bek Kiri | 25 | Uruguay/Italy | CA River Plate | €8.00m |
| 33 | Jordan Zemura | Bek Kiri | 23 | Zimbabwe/England | Watford FC | €6.00m |
| - | Ben Greenwood | Bek Kiri | 21 | Ireland/England | Gosport Borough | €100k |
| 17 | Jack Stacey | Bek Kanan | 27 | England | Norwich City | €2.00m |
| 2 | Ryan Fredericks | Bek Kanan | 30 | England/Scotland | Pensiun | €1.50m |
| 15 | Adam Smith | Bek Kanan | 32 | England | AFC Bournemouth | €1.20m |
| - | Brooklyn Genesini | Bek Kanan | 21 | England | Weymouth FC | €50k |
| 8 | Jefferson Lerma | Gelandang Bertahan | 28 | Colombia | Crystal Palace | €20.00m |
| - | Ben Pearson | Gelandang Bertahan | 28 | England | Stoke City | €2.20m |
| 29 | Philip Billing | Gelandang Tengah | 27 | Denmark/Nigeria | FC Midtjylland | €20.00m |
| 4 | Lewis Cook | Gelandang Tengah | 26 | England | AFC Bournemouth | €10.00m |
| 10 | Ryan Christie | Gelandang Tengah | 28 | Scotland | AFC Bournemouth | €10.00m |
| 14 | Joe Rothwell | Gelandang Tengah | 28 | England/Scotland | Sheffield United | €4.00m |
| - | Gavin Kilkenny | Gelandang Tengah | 23 | Ireland | Swindon Town | €400k |
| - | Jack Wadham | Gelandang Tengah | 20 | England | Worthing FC | €100k |
| - | Ferdinand Okoh | Gelandang Tengah | 19 | England/Nigeria | Tanpa Klub | - |
| 16 | Marcus Tavernier | Gelandang Serang | 24 | England | AFC Bournemouth | €17.00m |
| - | Emiliano Marcondes | Gelandang Serang | 28 | Denmark/Brazil | Melbourne City FC | €1.50m |
| 22 | Hamed Traoré | Sayap Kiri | 23 | Cote d'Ivoire | Genoa CFC | €22.00m |
| 32 | Jaidon Anthony | Sayap Kiri | 23 | England/Jamaica | Brentford FC | €9.00m |
| - | Siriki Dembélé | Sayap Kiri | 26 | Scotland/Cote d'Ivoire | Oxford United | €2.00m |
| 19 | Junior Stanislas | Sayap Kiri | 33 | England/St. Lucia | Pensiun | €500k |
| 11 | Dango Ouattara | Sayap Kanan | 21 | Burkina Faso | Brentford FC | €25.00m |
| 7 | David Brooks | Sayap Kanan | 25 | Wales/England | AFC Bournemouth | €12.00m |
| 24 | Antoine Semenyo | Sayap Kanan | 23 | Ghana/England | Manchester City | €9.00m |
| - | Dominic Sadi | Sayap Kanan | 19 | England | FK Novi Pazar | €100k |
| - | Michael Dacosta | Sayap Kanan | 18 | Spain/Equatorial Guinea | Moreirense FC | - |
| 9 | Dominic Solanke | Penyerang Tengah | 25 | England/Nigeria | Tottenham Hotspur | €20.00m |
